Date,Close
2/11/2019,53.939999
2/12/2019,55.639999
2/13/2019,55.68
2/14/2019,55.5
2/15/2019,55.720001
2/19/2019,55.68
2/20/2019,56.43
2/21/2019,55.419998
2/22/2019,55.529999
2/25/2019,57.189999
2/26/2019,56.889999
2/27/2019,58.919998
2/28/2019,58.16
3/1/2019,58.849998
3/4/2019,58.049999
3/5/2019,58.330002
3/6/2019,58.41
3/7/2019,57.82
3/8/2019,57.029999
3/11/2019,57.610001
3/12/2019,57.529999
3/13/2019,56.990002
3/14/2019,56.209999
3/15/2019,56.189999
3/18/2019,56.439999
3/19/2019,56.740002
3/20/2019,56.849998
3/21/2019,59.220001
3/22/2019,57
3/25/2019,57.939999
3/26/2019,57.330002
3/27/2019,57.18
3/28/2019,57.27
3/29/2019,56.27
4/1/2019,57.02
4/2/2019,57.639999
4/3/2019,58.43
4/4/2019,59.360001
4/5/2019,60.240002
4/8/2019,60.150002
4/9/2019,59.060001
4/10/2019,59.810001
4/11/2019,58.700001
4/12/2019,57.720001
4/15/2019,56.529999
4/16/2019,57.080002
4/17/2019,57.619999
4/18/2019,57.310001
4/22/2019,56.330002
4/23/2019,56.720001
4/24/2019,58
4/25/2019,56.299999
4/26/2019,56.18
4/29/2019,56.75
4/30/2019,57.169998
5/1/2019,55.349998
5/2/2019,56.779999
5/3/2019,56.639999
5/6/2019,56.009998
5/7/2019,54.09
5/8/2019,54.75
5/9/2019,55.040001
5/10/2019,54.860001
5/13/2019,52.259998
5/14/2019,53.200001
5/15/2019,53.200001
5/16/2019,53.73
5/17/2019,53.27
5/20/2019,53.599998
5/21/2019,54.580002
5/22/2019,54.23
5/23/2019,51.689999
5/24/2019,52.080002
5/28/2019,52.509998
5/29/2019,51.130001
5/30/2019,51.59
5/31/2019,58.5
6/3/2019,58.299999
6/4/2019,59.439999
6/5/2019,58.919998
6/6/2019,57.540001
6/7/2019,56.779999
6/10/2019,56.279999
6/11/2019,58.380001
6/12/2019,58.450001
6/13/2019,61.279999
6/14/2019,61.27
6/17/2019,60.990002
6/18/2019,61.759998
6/19/2019,62.02
6/20/2019,61.5
6/21/2019,61.32
6/24/2019,61.639999
6/25/2019,62.700001
6/26/2019,62.98
6/27/2019,64.260002
6/28/2019,65
7/1/2019,64.57
7/2/2019,64.349998
7/3/2019,64.43
7/5/2019,64.839996
7/8/2019,63.779999
7/9/2019,61.970001
7/10/2019,63.150002
7/11/2019,63.75
7/12/2019,65.440002
7/15/2019,69.099998
7/16/2019,70.260002
7/17/2019,69.559998
7/18/2019,69.599998
7/19/2019,69.260002
7/22/2019,69
7/23/2019,69.089996
7/24/2019,70.209999
7/25/2019,67.699997
7/26/2019,68.019997
7/29/2019,67.43
7/30/2019,67.330002
7/31/2019,66.68
8/1/2019,64.150002
8/2/2019,64.040001
8/5/2019,63.830002
8/6/2019,64.949997
8/7/2019,64.839996
8/8/2019,65.709999
8/9/2019,64.150002
8/12/2019,65.230003
8/13/2019,66.099998
8/14/2019,62.189999
8/15/2019,62.889999
8/16/2019,63.299999
8/19/2019,65.099998
8/20/2019,64.699997
8/21/2019,65.459999
8/22/2019,68.32
8/23/2019,67.309998
8/26/2019,67.419998
8/27/2019,68.400002
8/28/2019,68.779999
8/29/2019,64.160004
8/30/2019,65.800003
9/3/2019,62.709999
9/4/2019,62.959999
9/5/2019,64.830002
9/6/2019,65.260002
9/9/2019,66.839996
9/10/2019,69.25
9/11/2019,68.480003
9/12/2019,67.260002
9/13/2019,67.989998
9/16/2019,67.370003
9/17/2019,67.190002
9/18/2019,65.279999
9/19/2019,65.07
9/20/2019,65.110001
9/23/2019,67.300003
9/24/2019,67.18
9/25/2019,67.43
